n0,IGF2,Deletion
n1,ACVR1B,Deletion
n2,NRAS,Deletion
n3,TP53,Mutation
n4,ACVR2A,Mutation
n5,BRAF,Mutation
n6,FBXW7,Mutation
n7,LRP5,Mutation
n8,APC,Mutation
n9,ARID1A,Mutation
n10,AXIN2,Mutation
n11,DKK2,Mutation
n12,SMAD4,Mutation
n13,NRAS,Mutation
n14,KRAS,Mutation
n15,ACVR1B,Mutation
n16,FAM123B,Mutation
n17,PIK3CA,Mutation
n18,TGFBR2,Mutation
n19,ATM,Mutation
n20,ERBB2,Mutation
n21,SMAD2,Mutation
n22,TGFBR1,Mutation
n23,ERBB3,Mutation
n24,TCF7L2,Mutation
n25,SMAD3,Mutation
n26,DKK4,Mutation
n27,DKK1,Mutation
n28,OR,""
n29,UPOR,""
n30,UPXOR,""
n31,XOR,""
