"","nsubs","nlost","nrisk","nevent","surv","pdf","hazard","se.surv","se.pdf","se.hazard"
"0-28",50,20,40,0,1,0,0,0,NA,NA
"28-30",30,2,29,0,1,0,0,0,NA,NA
"30-31",28,4,26,0,1,0,0,0,NA,NA
"31-61",24,2,23,0,1,0,0,0,NA,NA
"61-316",22,0,22,2,1,0.00035650623885918,0.000373482726423903,0,0.000240356457206147,0.000263792574348696
"316-323",20,0,20,1,0.909090909090909,0.0064935064935065,0.00732600732600733,0.0612908965875675,0.00634421052544412,0.00732359864360587
"323-334",19,1,18.5,0,0.863636363636364,0,0,0.0731650049984536,NA,NA
"334-365",18,1,17.5,0,0.863636363636364,0,0,0.0731650049984536,NA,NA
"365-396",17,2,16,0,0.863636363636364,0,0,0.0731650049984536,NA,NA
"396-423",15,1,14.5,0,0.863636363636364,0,0,0.0731650049984536,NA,NA
"423-437",14,1,13.5,0,0.863636363636364,0,0,0.0731650049984536,NA,NA
"437-496",13,1,12.5,0,0.863636363636364,0,0,0.0731650049984536,NA,NA
"496-517",12,0,12,1,0.863636363636364,0.00342712842712843,0.0041407867494824,0.0731650049984536,0.00329404577658536,0.00413687111101847
"517-518",11,1,10.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"518-523",10,1,9.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"523-541",9,1,8.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"541-578",8,1,7.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"578-638",7,1,6.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"638-789",6,1,5.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"789-1035",5,1,4.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"1035-1215",4,1,3.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"1215-1245",3,1,2.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"1245-1246",2,1,1.5,0,0.791666666666667,0,0,0.096156678927451,NA,NA
"1246-NA",1,1,0.5,0,0.791666666666667,NA,NA,0.096156678927451,NA,NA
